scenario,satellite,ingress_utc,distance_km,nearest_sunlit,remaining_sunlit_s,one_hop_reachable
walker25,WALKER P10-09,2026-01-01T00:00:30.000Z,460.160,WALKER P16-07,4860,1
walker25,WALKER P20-03,2026-01-01T00:00:30.000Z,654.486,WALKER P23-02,60,1
walker25,WALKER P01-02,2026-01-01T00:01:00.000Z,874.586,WALKER P17-04,120,1
walker25,WALKER P03-01,2026-01-01T00:01:30.000Z,377.156,WALKER P16-05,180,1
walker25,WALKER P23-02,2026-01-01T00:01:30.000Z,721.328,WALKER P19-03,120,1
walker25,WALKER P09-09,2026-01-01T00:02:00.000Z,830.649,WALKER P15-07,86400,1
walker25,WALKER P05-10,2026-01-01T00:03:00.000Z,1243.730,WALKER P15-06,86400,1
walker25,WALKER P17-04,2026-01-01T00:03:00.000Z,1087.960,WALKER P25-01,120,1
walker25,WALKER P19-03,2026-01-01T00:03:30.000Z,679.167,WALKER P22-02,60,1
walker25,WALKER P08-09,2026-01-01T00:04:00.000Z,1535.933,WALKER P07-09,150,1
walker25,WALKER P16-05,2026-01-01T00:04:30.000Z,1240.290,WALKER P04-10,150,1
walker25,WALKER P22-02,2026-01-01T00:04:30.000Z,1045.499,WALKER P18-03,150,1
walker25,WALKER P25-01,2026-01-01T00:05:00.000Z,1274.634,WALKER P18-03,120,1
walker25,WALKER P02-01,2026-01-01T00:06:00.000Z,1284.571,WALKER P16-04,480,1
walker25,WALKER P07-09,2026-01-01T00:06:30.000Z,956.366,WALKER P15-06,86400,1
walker25,WALKER P04-10,2026-01-01T00:07:00.000Z,1510.950,WALKER P15-05,86400,1
walker25,WALKER P18-03,2026-01-01T00:07:00.000Z,479.371,WALKER P24-01,60,1
walker25,WALKER P21-02,2026-01-01T00:07:00.000Z,1178.080,WALKER P24-01,60,1
walker25,WALKER P24-01,2026-01-01T00:08:00.000Z,1144.896,WALKER P17-03,300,1
walker25,WALKER P11-08,2026-01-01T00:09:00.000Z,1157.597,WALKER P14-07,86400,1
walker25,WALKER P12-08,2026-01-01T00:09:00.000Z,986.223,WALKER P19-06,3690,1
walker25,WALKER P06-09,2026-01-01T00:09:30.000Z,1712.741,WALKER P05-09,180,1
walker25,WALKER P10-08,2026-01-01T00:10:00.000Z,451.128,WALKER P16-06,4860,1
walker25,WALKER P20-02,2026-01-01T00:10:00.000Z,662.576,WALKER P23-01,60,1
walker25,WALKER P01-01,2026-01-01T00:10:30.000Z,896.467,WALKER P17-03,150,1
walker25,WALKER P03-10,2026-01-01T00:11:00.000Z,382.073,WALKER P16-04,180,1
walker25,WALKER P23-01,2026-01-01T00:11:00.000Z,725.801,WALKER P19-02,120,1
walker25,WALKER P09-08,2026-01-01T00:11:30.000Z,805.600,WALKER P15-06,86400,1
walker25,WALKER P05-09,2026-01-01T00:12:30.000Z,1206.023,WALKER P15-05,86400,1
walker25,WALKER P17-03,2026-01-01T00:13:00.000Z,1271.306,WALKER P25-10,90,1
walker25,WALKER P19-02,2026-01-01T00:13:00.000Z,670.546,WALKER P22-01,60,1
walker25,WALKER P08-08,2026-01-01T00:13:30.000Z,1533.489,WALKER P07-08,150,1
walker25,WALKER P16-04,2026-01-01T00:14:00.000Z,1281.050,WALKER P04-09,150,1
walker25,WALKER P22-01,2026-01-01T00:14:00.000Z,1030.342,WALKER P18-02,180,1
walker25,WALKER P25-10,2026-01-01T00:14:30.000Z,1296.802,WALKER P18-02,150,1
walker25,WALKER P02-10,2026-01-01T00:15:30.000Z,1297.081,WALKER P16-03,480,1
walker25,WALKER P07-08,2026-01-01T00:16:00.000Z,938.985,WALKER P15-05,86400,1
